10:40:26.277365 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 191
10:40:26.287520 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 192
10:40:26.297676 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 193
10:40:26.307833 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 194
10:40:26.317988 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 195
10:40:26.328170 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 196
10:40:26.338324 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 197
10:40:26.348479 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 198
10:40:26.358632 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 199
10:40:26.368783 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 200
10:40:26.378906 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 201
10:40:26.389068 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 202
10:40:26.399196 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 203
10:40:26.409355 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 204
10:40:26.419509 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 205
10:40:26.429662 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 206
10:40:26.439829 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 207
10:40:26.449985 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 208
10:40:26.460139 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 209
10:40:26.470293 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 210
10:40:26.480448 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 211
10:40:26.490601 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 212
10:40:26.500753 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 213
10:40:26.510905 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 214
10:40:26.521057 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 215
10:40:26.531215 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 216
10:40:26.541373 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 217
10:40:26.551510 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 218
10:40:26.561667 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 219
10:40:26.571824 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 220
