18:10:31.303649 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 88
18:10:31.303670 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 88
18:10:31.313818 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 89
18:10:31.313838 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 89
18:10:31.323986 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 90
18:10:31.324006 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 90
18:10:31.334153 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 91
18:10:31.334174 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 91
18:10:31.344329 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 92
18:10:31.344350 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 92
18:10:31.354497 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 93
18:10:31.354518 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 93
18:10:31.364673 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 94
18:10:31.364693 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 94
18:10:31.374841 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 95
18:10:31.374861 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 95
18:10:31.385013 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 96
18:10:31.385035 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 96
18:10:31.395189 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 97
18:10:31.395210 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 97
18:10:31.405357 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 98
18:10:31.405378 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 98
18:10:31.415534 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 99
18:10:31.415555 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 99
18:10:31.425702 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 100
18:10:31.425723 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 100
18:10:31.435869 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 101
18:10:31.435889 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 101
18:10:31.446037 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 102
18:10:31.446057 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 102
18:10:31.456205 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 103
18:10:31.456225 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 103
18:10:31.466372 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 104
18:10:31.466393 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 104
18:10:31.476540 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 105
18:10:31.476561 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 105
18:10:31.486707 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 106
18:10:31.486728 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 106
18:10:31.496875 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 107
18:10:31.496896 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 107
18:10:31.507042 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 108
18:10:31.507062 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 108
18:10:31.517214 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 109
18:10:31.517234 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 109
18:10:31.527379 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 110
18:10:31.527400 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 110
18:10:31.537559 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 111
