13:14:12.902672 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 121
13:14:12.902685 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 121
13:14:12.912828 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 122
13:14:12.912840 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 122
13:14:12.922981 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 123
13:14:12.922996 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 123
13:14:12.933131 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 124
13:14:12.933147 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 124
13:14:12.943285 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 125
13:14:12.943298 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 125
13:14:12.953433 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 126
13:14:12.953447 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 126
13:14:12.963585 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 127
13:14:12.963598 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 127
13:14:12.973733 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 128
13:14:12.973746 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 128
13:14:12.983888 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 129
13:14:12.983901 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 129
13:14:12.994045 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 130
13:14:12.994058 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 130
13:14:13.004195 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 131
13:14:13.004211 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 131
13:14:13.014349 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 132
13:14:13.014364 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 132
13:14:13.024507 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 133
13:14:13.024521 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 133
13:14:13.034659 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 134
13:14:13.034673 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 134
13:14:13.044813 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 135
13:14:13.044826 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 135
13:14:13.054963 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 136
13:14:13.054976 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 136
13:14:13.065113 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 137
13:14:13.065128 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 137
13:14:13.075260 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 138
13:14:13.075274 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 138
13:14:13.085416 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 139
13:14:13.085428 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 139
13:14:13.095563 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 140
13:14:13.095577 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 140
13:14:13.105719 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 141
13:14:13.105732 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 141
13:14:13.115875 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 142
13:14:13.115888 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 142
13:14:13.126027 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 143
13:14:13.126040 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 143
13:14:13.136179 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 144
13:14:13.136192 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 144
13:14:13.146328 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 145
13:14:13.146342 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 145
13:14:13.156480 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 146
13:14:13.156493 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 146
13:14:13.166628 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 147
13:14:13.166639 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 147
13:14:13.176775 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 148
13:14:13.176788 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 148
13:14:13.186952 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 149
13:14:13.186966 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 149
13:14:13.197098 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 150
13:14:13.197113 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 150
13:14:13.207254 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 151
13:14:13.207267 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 151
13:14:13.217409 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 152
13:14:13.217423 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 152
13:14:13.227544 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 153
13:14:13.227557 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 153
13:14:13.237677 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 154
