13:31:25.816099 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 131
13:31:25.826222 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 132
13:31:25.826237 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 132
13:31:25.836361 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 133
13:31:25.836376 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 133
13:31:25.846528 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 134
13:31:25.846543 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 134
13:31:25.856684 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 135
13:31:25.856699 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 135
13:31:25.866840 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 136
13:31:25.866855 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 136
13:31:25.876995 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 137
13:31:25.877013 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 137
13:31:25.887152 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 138
13:31:25.887169 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 138
13:31:25.897309 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 139
13:31:25.897322 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 139
13:31:25.907463 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 140
13:31:25.907478 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 140
13:31:25.917618 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 141
13:31:25.917634 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 141
13:31:25.927771 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 142
13:31:25.927788 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 142
13:31:25.937933 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 143
13:31:25.937951 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 143
13:31:25.948091 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 144
13:31:25.948106 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 144
13:31:25.958247 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 145
13:31:25.958264 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 145
13:31:25.968387 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 146
13:31:25.968420 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 146
13:31:25.978536 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 147
13:31:25.978549 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 147
13:31:25.988689 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 148
13:31:25.988704 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 148
13:31:25.998844 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 149
13:31:25.998860 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 149
13:31:26.008999 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 150
13:31:26.009016 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 150
13:31:26.019157 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 151
