18:12:34.053421 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 118
18:12:34.063558 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 119
18:12:34.063571 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 119
18:12:34.073692 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 120
18:12:34.073705 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 120
18:12:34.083849 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 121
18:12:34.083861 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 121
18:12:34.094004 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 122
18:12:34.094020 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 122
18:12:34.104158 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 123
18:12:34.104173 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 123
18:12:34.114312 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 124
18:12:34.114326 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 124
18:12:34.124468 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 125
18:12:34.124482 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 125
18:12:34.134624 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 126
18:12:34.134637 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 126
18:12:34.144773 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 127
18:12:34.144787 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 127
18:12:34.154929 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 128
18:12:34.154941 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 128
18:12:34.165077 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 129
18:12:34.165087 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 129
18:12:34.175218 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 130
18:12:34.175231 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 130
18:12:34.185369 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 131
18:12:34.185383 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 131
18:12:34.195514 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 132
18:12:34.195528 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 132
18:12:34.205664 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 133
18:12:34.205677 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 133
18:12:34.215812 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 134
18:12:34.215825 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 134
18:12:34.225961 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 135
18:12:34.225974 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 135
18:12:34.236112 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 136
18:12:34.236125 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 136
18:12:34.246262 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 137
18:12:34.246275 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 137
18:12:34.256412 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 138
18:12:34.256425 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 138
18:12:34.266562 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 139
18:12:34.266575 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 139
18:12:34.276711 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 140
18:12:34.276724 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 140
18:12:34.286866 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 141
18:12:34.286877 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 141
